frame, seconds, minutes, time, listeners
60, 1.0, 0.016666666666666666, 11:29:36 , 15
120, 2.0, 0.03333333333333333, 11:29:37 , 15
180, 3.0, 0.05, 11:29:38 , 15
240, 4.0, 0.06666666666666667, 11:29:39 , 15
300, 5.0, 0.08333333333333333, 11:29:40 , 15
360, 6.0, 0.1, 11:29:41 , 15
420, 7.0, 0.11666666666666667, 11:29:42 , 15
480, 8.0, 0.13333333333333333, 11:29:43 , 15
540, 9.0, 0.15, 11:29:44 , 15
600, 10.0, 0.16666666666666666, 11:29:45 , 15
660, 11.0, 0.18333333333333332, 11:29:46 , 15
720, 12.0, 0.2, 11:29:47 , 15
780, 13.0, 0.21666666666666667, 11:29:48 , 15
840, 14.0, 0.23333333333333334, 11:29:49 , 15
900, 15.0, 0.25, 11:29:50 , 15
960, 16.0, 0.26666666666666666, 11:29:51 , 15
1020, 17.0, 0.2833333333333333, 11:29:52 , 15
1080, 18.0, 0.3, 11:29:53 , 16
1140, 19.0, 0.31666666666666665, 11:29:54 , 16
1200, 20.0, 0.3333333333333333, 11:29:55 , 16
1260, 21.0, 0.35, 11:29:56 , 16
1320, 22.0, 0.36666666666666664, 11:29:57 , 16
1380, 23.0, 0.38333333333333336, 11:29:58 , 16
1440, 24.0, 0.4, 11:29:59 , 16
1500, 25.0, 0.4166666666666667, 11:30:00 , 16
1560, 26.0, 0.43333333333333335, 11:30:01 , 16
1620, 27.0, 0.45, 11:30:02 , 16
1680, 28.0, 0.4666666666666667, 11:30:03 , 16
1740, 29.0, 0.48333333333333334, 11:30:04 , 16
1800, 30.0, 0.5, 11:30:05 , 16
1860, 31.0, 0.5166666666666667, 11:30:06 , 16
1920, 32.0, 0.5333333333333333, 11:30:07 , 16
1980, 33.0, 0.55, 11:30:08 , 16
2040, 34.0, 0.5666666666666667, 11:30:09 , 16
2100, 35.0, 0.5833333333333334, 11:30:10 , 17
2160, 36.0, 0.6, 11:30:11 , 17
2220, 37.0, 0.6166666666666667, 11:30:12 , 17
2280, 38.0, 0.6333333333333333, 11:30:13 , 17
2340, 39.0, 0.65, 11:30:14 , 17
2400, 40.0, 0.6666666666666666, 11:30:15 , 17
2460, 41.0, 0.6833333333333333, 11:30:16 , 17
2520, 42.0, 0.7, 11:30:17 , 17
2580, 43.0, 0.7166666666666667, 11:30:18 , 17
2640, 44.0, 0.7333333333333333, 11:30:19 , 17
2700, 45.0, 0.75, 11:30:20 , 17
2760, 46.0, 0.7666666666666667, 11:30:21 , 17
2820, 47.0, 0.7833333333333333, 11:30:22 , 17
2880, 48.0, 0.8, 11:30:23 , 17
2940, 49.0, 0.8166666666666667, 11:30:24 , 17
3000, 50.0, 0.8333333333333334, 11:30:25 , 17
3060, 51.0, 0.85, 11:30:26 , 17
3120, 52.0, 0.8666666666666667, 11:30:27 , 17
3180, 53.0, 0.8833333333333333, 11:30:28 , 17
3240, 54.0, 0.9, 11:30:29 , 17
3300, 55.0, 0.9166666666666666, 11:30:30 , 17
3360, 56.0, 0.9333333333333333, 11:30:31 , 17
3420, 57.0, 0.95, 11:30:32 , 17
3480, 58.0, 0.9666666666666667, 11:30:33 , 17
3540, 59.0, 0.9833333333333333, 11:30:34 , 17
3600, 60.0, 1.0, 11:30:35 , 17
3660, 61.0, 1.0166666666666666, 11:30:36 , 22
3720, 62.0, 1.0333333333333334, 11:30:37 , 22
3780, 63.0, 1.05, 11:30:38 , 22
3840, 64.0, 1.0666666666666667, 11:30:39 , 22
3900, 65.0, 1.0833333333333333, 11:30:40 , 22
3960, 66.0, 1.1, 11:30:41 , 22
4020, 67.0, 1.1166666666666667, 11:30:42 , 22
4080, 68.0, 1.1333333333333333, 11:30:43 , 22
4140, 69.0, 1.15, 11:30:44 , 22
4200, 70.0, 1.1666666666666667, 11:30:45 , 22
4260, 71.0, 1.1833333333333333, 11:30:46 , 22
4320, 72.0, 1.2, 11:30:47 , 22
4380, 73.0, 1.2166666666666666, 11:30:48 , 22
4440, 74.0, 1.2333333333333334, 11:30:49 , 22
4500, 75.0, 1.25, 11:30:50 , 22
4560, 76.0, 1.2666666666666666, 11:30:51 , 22
4620, 77.0, 1.2833333333333334, 11:30:52 , 22
4680, 78.0, 1.3, 11:30:53 , 26
4740, 79.0, 1.3166666666666667, 11:30:54 , 26
4800, 80.0, 1.3333333333333333, 11:30:55 , 26
4860, 81.0, 1.35, 11:30:56 , 26
4920, 82.0, 1.3666666666666667, 11:30:57 , 26
4980, 83.0, 1.3833333333333333, 11:30:58 , 26
5040, 84.0, 1.4, 11:30:59 , 26
5100, 85.0, 1.4166666666666667, 11:31:00 , 26
5160, 86.0, 1.4333333333333333, 11:31:01 , 26
5220, 87.0, 1.45, 11:31:02 , 26
5280, 88.0, 1.4666666666666666, 11:31:03 , 26
5340, 89.0, 1.4833333333333334, 11:31:04 , 26
5400, 90.0, 1.5, 11:31:05 , 26
5460, 91.0, 1.5166666666666666, 11:31:06 , 26
5520, 92.0, 1.5333333333333334, 11:31:07 , 26
5580, 93.0, 1.55, 11:31:08 , 26
5640, 94.0, 1.5666666666666667, 11:31:09 , 26
5700, 95.0, 1.5833333333333333, 11:31:10 , 27
5760, 96.0, 1.6, 11:31:11 , 27
5820, 97.0, 1.6166666666666667, 11:31:12 , 27
5880, 98.0, 1.6333333333333333, 11:31:13 , 27
5940, 99.0, 1.65, 11:31:14 , 27
6000, 100.0, 1.6666666666666667, 11:31:15 , 27
6060, 101.0, 1.6833333333333333, 11:31:16 , 27
6120, 102.0, 1.7, 11:31:17 , 27
6180, 103.0, 1.7166666666666666, 11:31:18 , 27
6240, 104.0, 1.7333333333333334, 11:31:19 , 27
6300, 105.0, 1.75, 11:31:20 , 27
6360, 106.0, 1.7666666666666666, 11:31:21 , 27
6420, 107.0, 1.7833333333333334, 11:31:22 , 27
6480, 108.0, 1.8, 11:31:23 , 27
6540, 109.0, 1.8166666666666667, 11:31:24 , 27
6600, 110.0, 1.8333333333333333, 11:31:25 , 27
6660, 111.0, 1.85, 11:31:26 , 27
6720, 112.0, 1.8666666666666667, 11:31:27 , 27
6780, 113.0, 1.8833333333333333, 11:31:28 , 27
6840, 114.0, 1.9, 11:31:29 , 27
6900, 115.0, 1.9166666666666667, 11:31:30 , 27
6960, 116.0, 1.9333333333333333, 11:31:31 , 27
7020, 117.0, 1.95, 11:31:32 , 27
7080, 118.0, 1.9666666666666666, 11:31:33 , 27
7140, 119.0, 1.9833333333333334, 11:31:34 , 27
7200, 120.0, 2.0, 11:31:35 , 27
7260, 121.0, 2.0166666666666666, 11:31:36 , 33
7320, 122.0, 2.033333333333333, 11:31:37 , 33
7380, 123.0, 2.05, 11:31:38 , 33
7440, 124.0, 2.066666666666667, 11:31:39 , 33
7500, 125.0, 2.0833333333333335, 11:31:40 , 33
7560, 126.0, 2.1, 11:31:41 , 33
7620, 127.0, 2.1166666666666667, 11:31:42 , 33
7680, 128.0, 2.1333333333333333, 11:31:43 , 33
7740, 129.0, 2.15, 11:31:44 , 33
7800, 130.0, 2.1666666666666665, 11:31:45 , 33
7860, 131.0, 2.183333333333333, 11:31:46 , 33
7920, 132.0, 2.2, 11:31:47 , 33
7980, 133.0, 2.216666666666667, 11:31:48 , 33
8040, 134.0, 2.2333333333333334, 11:31:49 , 33
8100, 135.0, 2.25, 11:31:50 , 33
8160, 136.0, 2.2666666666666666, 11:31:51 , 33
8220, 137.0, 2.283333333333333, 11:31:52 , 33
8280, 138.0, 2.3, 11:31:53 , 35
8340, 139.0, 2.316666666666667, 11:31:54 , 35
8400, 140.0, 2.3333333333333335, 11:31:55 , 35
8460, 141.0, 2.35, 11:31:56 , 35
8520, 142.0, 2.3666666666666667, 11:31:57 , 35
8580, 143.0, 2.3833333333333333, 11:31:58 , 35
8640, 144.0, 2.4, 11:31:59 , 35
8700, 145.0, 2.4166666666666665, 11:32:00 , 35
8760, 146.0, 2.433333333333333, 11:32:01 , 35
8820, 147.0, 2.45, 11:32:02 , 35
8880, 148.0, 2.466666666666667, 11:32:03 , 35
8940, 149.0, 2.4833333333333334, 11:32:04 , 35
9000, 150.0, 2.5, 11:32:05 , 35
9060, 151.0, 2.5166666666666666, 11:32:06 , 35
9120, 152.0, 2.533333333333333, 11:32:07 , 35
9180, 153.0, 2.55, 11:32:08 , 35
9240, 154.0, 2.566666666666667, 11:32:09 , 35
9300, 155.0, 2.5833333333333335, 11:32:10 , 37
9360, 156.0, 2.6, 11:32:11 , 37
9420, 157.0, 2.6166666666666667, 11:32:12 , 37
9480, 158.0, 2.6333333333333333, 11:32:13 , 37
9540, 159.0, 2.65, 11:32:14 , 37
9600, 160.0, 2.6666666666666665, 11:32:15 , 37
9660, 161.0, 2.683333333333333, 11:32:16 , 37
9720, 162.0, 2.7, 11:32:17 , 37
9780, 163.0, 2.716666666666667, 11:32:18 , 37
9840, 164.0, 2.7333333333333334, 11:32:19 , 37
9900, 165.0, 2.75, 11:32:20 , 37
9960, 166.0, 2.7666666666666666, 11:32:21 , 37
10020, 167.0, 2.783333333333333, 11:32:22 , 37
10080, 168.0, 2.8, 11:32:23 , 37
10140, 169.0, 2.816666666666667, 11:32:24 , 37
10200, 170.0, 2.8333333333333335, 11:32:25 , 37
10260, 171.0, 2.85, 11:32:26 , 37
10320, 172.0, 2.8666666666666667, 11:32:27 , 37
10380, 173.0, 2.8833333333333333, 11:32:28 , 37
10440, 174.0, 2.9, 11:32:29 , 37
10500, 175.0, 2.9166666666666665, 11:32:30 , 37
10560, 176.0, 2.933333333333333, 11:32:31 , 37
10620, 177.0, 2.95, 11:32:32 , 37
10680, 178.0, 2.966666666666667, 11:32:33 , 37
10740, 179.0, 2.9833333333333334, 11:32:34 , 37
10800, 180.0, 3.0, 11:32:35 , 37
10860, 181.0, 3.0166666666666666, 11:32:36 , 37
10920, 182.0, 3.033333333333333, 11:32:37 , 36
10980, 183.0, 3.05, 11:32:38 , 36
11040, 184.0, 3.066666666666667, 11:32:39 , 36
11100, 185.0, 3.0833333333333335, 11:32:40 , 36
11160, 186.0, 3.1, 11:32:41 , 36
11220, 187.0, 3.1166666666666667, 11:32:42 , 36
11280, 188.0, 3.1333333333333333, 11:32:43 , 36
