frame, seconds, minutes, time, listeners
299, 4.9967608950066875, 0.08327934825011146, 22:47:22 , 1010
598, 9.993521790013375, 0.16655869650022292, 22:47:27 , 1012
897, 14.990282685020063, 0.2498380447503344, 22:47:32 , 1012
1196, 19.98704358002675, 0.33311739300044585, 22:47:37 , 1014
1495, 24.983804475033438, 0.4163967412505573, 22:47:42 , 1011
1794, 29.980565370040125, 0.4996760895006688, 22:47:47 , 1011
2093, 34.97732626504681, 0.5829554377507802, 22:47:52 , 1016
2392, 39.9740871600535, 0.6662347860008917, 22:47:57 , 1018
2691, 44.97084805506019, 0.7495141342510031, 22:48:02 , 1018
2990, 49.967608950066875, 0.8327934825011146, 22:48:07 , 1007
3289, 54.96436984507356, 0.916072830751226, 22:48:12 , 1005
3588, 59.96113074008025, 0.9993521790013375, 22:48:17 , 1005
3887, 64.95789163508694, 1.082631527251449, 22:48:22 , 1006
4186, 69.95465253009363, 1.1659108755015604, 22:48:27 , 1002
4485, 74.95141342510031, 1.2491902237516719, 22:48:32 , 1002
4784, 79.948174320107, 1.3324695720017834, 22:48:37 , 1001
5083, 84.94493521511369, 1.4157489202518947, 22:48:42 , 997
5382, 89.94169611012038, 1.4990282685020062, 22:48:47 , 997
5681, 94.93845700512706, 1.5823076167521177, 22:48:52 , 994
5980, 99.93521790013375, 1.6655869650022292, 22:48:57 , 994
6279, 104.93197879514044, 1.7488663132523405, 22:49:02 , 994
6578, 109.92873969014713, 1.832145661502452, 22:49:07 , 995
6877, 114.92550058515381, 1.9154250097525636, 22:49:12 , 989
7176, 119.9222614801605, 1.998704358002675, 22:49:17 , 989
7475, 124.91902237516719, 2.0819837062527866, 22:49:22 , 976
7774, 129.91578327017388, 2.165263054502898, 22:49:27 , 980
8073, 134.91254416518055, 2.248542402753009, 22:49:32 , 980
8372, 139.90930506018725, 2.3318217510031207, 22:49:37 , 985
8671, 144.90606595519392, 2.4151010992532322, 22:49:42 , 978
8970, 149.90282685020063, 2.4983804475033438, 22:49:47 , 978
9269, 154.8995877452073, 2.581659795753455, 22:49:52 , 979
9568, 159.896348640214, 2.664939144003567, 22:49:57 , 979
9867, 164.89310953522067, 2.748218492253678, 22:50:02 , 979
10166, 169.88987043022738, 2.8314978405037894, 22:50:07 , 981
10465, 174.88663132523405, 2.914777188753901, 22:50:12 , 981
10764, 179.88339222024075, 2.9980565370040124, 22:50:17 , 981
11063, 184.88015311524742, 3.081335885254124, 22:50:22 , 983
11362, 189.87691401025413, 3.1646152335042355, 22:50:27 , 980
11661, 194.8736749052608, 3.2478945817543465, 22:50:32 , 980
11960, 199.8704358002675, 3.3311739300044585, 22:50:37 , 982
12259, 204.86719669527417, 3.4144532782545696, 22:50:42 , 984
12558, 209.86395759028088, 3.497732626504681, 22:50:47 , 984
12857, 214.86071848528755, 3.5810119747547926, 22:50:52 , 987
13156, 219.85747938029425, 3.664291323004904, 22:50:57 , 988
13455, 224.85424027530092, 3.747570671255015, 22:51:02 , 988
13754, 229.85100117030763, 3.830850019505127, 22:51:07 , 986
14053, 234.8477620653143, 3.9141293677552382, 22:51:12 , 991
14352, 239.844522960321, 3.99740871600535, 22:51:17 , 991
